Model,trace name,IPC,number of instructions,number of load misses,MPKI
lime19,result_baseline_leslie3d_94B.trace.gz.txt,0.614647,100000000.0,405606.0,4.05606
lime19,result_baseline_lbm_1004B.trace.gz.txt,0.686695,100000001.0,415574.0,4.1557399584426005
lime19,result_baseline_astar_313B.trace.gz.txt,0.144394,100000001.0,1252626.0,12.526259874737402
lime19,result_baseline_GemsFDTD_109B.trace.gz.txt,0.608786,100000001.0,425809.0,4.2580899574191005
lime19,result_baseline_mcf_46B.trace.gz.txt,0.118661,100000001.0,4526794.0,45.2679395473206
lime19,result_baseline_sphinx3_2520B.trace.gz.txt,1.16068,100000003.0,19040.0,0.19039999428800017
lime19,result_baseline_libquantum_1735B.trace.gz.txt,0.531788,100000000.0,650768.0,6.50768
lime19,result_baseline_zeusmp_100B.trace.gz.txt,1.4116,100000003.0,16134.0,0.16133999515980013
lime19,result_baseline_sphinx3_1339B.trace.gz.txt,1.02258,100000002.0,31446.0,0.31445999371080013
lime19,result_baseline_GemsFDTD_716B.trace.gz.txt,0.344737,100000000.0,1461827.0,14.61827
lime19,result_baseline_calculix_2670B.trace.gz.txt,2.07905,100000001.0,803.0,0.008029999919700001
lime19,result_baseline_omnetpp_17B.trace.gz.txt,0.455381,100000003.0,328031.0,3.280309901590703
lime19,result_baseline_soplex_66B.trace.gz.txt,0.404487,100000003.0,914810.0,9.148099725557008
lime19,result_baseline_GemsFDTD_712B.trace.gz.txt,0.602573,100000000.0,411460.0,4.1146
lime19,result_baseline_cactusADM_734B.trace.gz.txt,0.458671,100000000.0,23359.0,0.23359
lime19,result_baseline_omnetpp_4B.trace.gz.txt,0.372431,100000001.0,193270.0,1.932699980673
lime19,result_baseline_mcf_250B.trace.gz.txt,0.108157,100000000.0,3059239.0,30.59239
lime19,result_baseline_leslie3d_1116B.trace.gz.txt,0.706761,100000001.0,255670.0,2.556699974433
lime19,result_baseline_mcf_158B.trace.gz.txt,0.101301,100000002.0,4336548.0,43.36547913269042
lime19,result_baseline_cactusADM_1039B.trace.gz.txt,0.468381,100000003.0,28399.0,0.28398999148030024
lime19,result_baseline_leslie3d_1186B.trace.gz.txt,0.682833,100000000.0,323143.0,3.23143
lime19,result_baseline_gcc_56B.trace.gz.txt,0.73087,100000003.0,44885.0,0.4488499865345004
lime19,result_baseline_perlbench_105B.trace.gz.txt,0.409684,100000000.0,10012.0,0.10012
lime19,result_baseline_astar_163B.trace.gz.txt,0.500755,100000001.0,45672.0,0.45671999543280006
lime19,result_baseline_bzip2_183B.trace.gz.txt,0.762522,100000003.0,34011.0,0.3401099897967003
lime19,result_baseline_milc_360B.trace.gz.txt,0.560719,100000003.0,1002075.0,10.02074969937751
lime19,result_baseline_zeusmp_600B.trace.gz.txt,1.29916,100000001.0,27656.0,0.2765599972344
lime19,result_baseline_lbm_564B.trace.gz.txt,0.66287,100000003.0,445765.0,4.457649866270504
lime19,result_baseline_bzip2_281B.trace.gz.txt,0.886351,100000000.0,36766.0,0.36766
lime19,result_baseline_cactusADM_1495B.trace.gz.txt,0.482851,100000003.0,24906.0,0.2490599925282002
lime19,result_baseline_soplex_217B.trace.gz.txt,0.367387,100000000.0,1266245.0,12.66245
lime19,result_baseline_perlbench_135B.trace.gz.txt,0.397764,100000003.0,7889.0,0.07888999763330007
lime19,result_baseline_libquantum_964B.trace.gz.txt,0.560567,100000001.0,1124494.0,11.2449398875506
lime19,result_baseline_libquantum_1210B.trace.gz.txt,0.495204,100000001.0,812257.0,8.122569918774301
